partition,in,out,red,T
Particion 1-1, 69.2708333333, 63.4020618557, 52.5179856115, 1849.73716068
Particion 1-2, 71.6494845361, 64.5833333333, 52.8776978417, 1853.70978236
Particion 2-1, 71.875, 66.4948453608, 48.9208633094, 1924.67089415
Particion 2-2, 68.5567010309, 62.5, 44.2446043165, 2043.10377622
Particion 3-1, 68.75, 65.4639175258, 50.3597122302, 2094.38156343
Particion 3-2, 74.7422680412, 65.625, 51.4388489209, 2051.75597596
Particion 4-1, 72.9166666667, 70.1030927835, 51.4388489209, 2050.12103653
Particion 4-2, 66.4948453608, 63.5416666667, 52.5179856115, 1996.83067489
Particion 5-1, 73.4375, 68.5567010309, 47.8417266187, 1853.08460641
Particion 5-2, 69.0721649485, 65.1041666667, 51.7985611511, 1915.64383626
Media, 70.6765463918, 65.5374785223, 50.3956834532, 1963.30393069
