partition,in,out,red,T
Particion 1-1, 64.5833333333, 63.4020618557, 0.0, 0.756728410721
Particion 1-2, 63.4020618557, 45.3125, 0.0, 0.736719608307
Particion 2-1, 64.5833333333, 44.3298969072, 0.0, 0.720836162567
Particion 2-2, 65.4639175258, 63.5416666667, 0.0, 0.740894317627
Particion 3-1, 63.5416666667, 43.8144329897, 0.0, 0.729084730148
Particion 3-2, 65.9793814433, 63.5416666667, 0.0, 0.765326499939
Particion 4-1, 66.6666666667, 44.3298969072, 0.0, 0.755317926407
Particion 4-2, 63.4020618557, 63.5416666667, 0.0, 0.737417936325
Particion 5-1, 64.0625, 46.9072164948, 0.0, 0.729151964188
Particion 5-2, 68.5567010309, 43.75, 0.0, 0.767907381058
Media, 65.0247, 52.2471, 0.0, 0.7439
