partition,in,out,red,T
Particion 1-1, 69.7916666667, 64.4329896907, 52.5179856115, 243.701486111
Particion 1-2, 67.5257731959, 65.1041666667, 48.5611510791, 402.625207901
Particion 2-1, 70.8333333333, 63.9175257732, 48.9208633094, 238.166570663
Particion 2-2, 69.0721649485, 62.5, 48.5611510791, 169.240096331
Particion 3-1, 73.4375, 69.0721649485, 55.7553956835, 177.189795971
Particion 3-2, 70.618556701, 63.0208333333, 43.8848920863, 367.794083357
Particion 4-1, 70.3125, 67.0103092784, 51.0791366906, 312.140042067
Particion 4-2, 67.5257731959, 64.5833333333, 43.1654676259, 212.357123375
Particion 5-1, 69.2708333333, 66.4948453608, 49.6402877698, 210.320339203
Particion 5-2, 68.0412371134, 65.625, 50.7194244604, 257.814346552
Media, 69.6429338488, 65.1761168385, 49.2805755396, 259.134909153
