, Clas. in, Clas. out, red., T
Particion 1-1, 68.75, 62.8865979381, 53.2374100719, 2394.1382544
Particion 1-2, 69.0721649485, 62.5, 52.1582733813, 2307.90495777
Particion 2-1, 67.7083333333, 63.9175257732, 46.0431654676, 2423.5679419
Particion 2-2, 67.0103092784, 66.1458333333, 47.1223021583, 2450.45236731
Particion 3-1, 69.2708333333, 67.5257731959, 47.8417266187, 2069.81882
Particion 3-2, 70.618556701, 60.9375, 54.6762589928, 2032.54805827
Particion 4-1, 70.8333333333, 68.0412371134, 48.5611510791, 2190.60797143
Particion 4-2, 67.5257731959, 62.5, 48.9208633094, 2119.19458795
Particion 5-1, 70.3125, 61.3402061856, 46.7625899281, 2061.4179368
Particion 5-2, 68.0412371134, 67.1875, 48.9208633094, 2086.05565143
Media, 68.9143041237, 64.298217354, 49.4244604317, 2213.57065473
