partition,in,out,red,T
Particion 1-1, 78.6458333333, 68.5567010309, 98.5611510791, 342.886173725
Particion 1-2, 81.9587628866, 74.4791666667, 97.4820143885, 562.288764
Particion 2-1, 78.125, 69.0721649485, 98.2014388489, 419.641676188
Particion 2-2, 77.3195876289, 68.75, 97.4820143885, 559.029890299
Particion 3-1, 82.2916666667, 74.2268041237, 96.7625899281, 678.888458729
Particion 3-2, 81.9587628866, 74.4791666667, 97.4820143885, 553.068184137
Particion 4-1, 78.125, 69.0721649485, 97.4820143885, 535.998739004
Particion 4-2, 73.7113402062, 67.1875, 98.2014388489, 417.097949743
Particion 5-1, 77.6041666667, 69.0721649485, 98.9208633094, 268.020051241
Particion 5-2, 82.9896907216, 77.0833333333, 96.7625899281, 736.566632509
Media, 79.2729810997, 71.1979166667, 97.7338129496, 507.348651958
