partition,in,out,red,T
Particion 1-1, 76.5625, 65.4639175258, 55.035971223, 1663.1603899
Particion 1-2, 72.1649484536, 68.2291666667, 54.3165467626, 1827.97284865
Particion 2-1, 74.4791666667, 63.9175257732, 51.4388489209, 1800.55559087
Particion 2-2, 72.6804123711, 67.1875, 50.0, 1861.82118154
Particion 3-1, 72.9166666667, 68.5567010309, 55.3956834532, 1840.25152755
Particion 3-2, 71.1340206186, 63.5416666667, 45.6834532374, 1903.29714394
Particion 4-1, 70.8333333333, 66.4948453608, 51.0791366906, 1764.42422032
Particion 4-2, 70.618556701, 63.0208333333, 47.8417266187, 1716.13524508
Particion 5-1, 72.9166666667, 67.0103092784, 55.3956834532, 1619.06159997
Particion 5-2, 72.1649484536, 64.5833333333, 50.0, 1618.16021609
Media, 72.6471219931, 65.8005798969, 51.618705036, 1761.48399639
