partition,in,out,red,T
Particion 1-1, 76.666667, 68.333333, 45.555556, 1944.447089
Particion 1-2, 71.111111, 69.444444, 48.888889, 1903.760217
Particion 2-1, 73.888889, 72.777778, 60.000000, 1837.567361
Particion 2-2, 77.222222, 72.222222, 57.777778, 1841.941648
Particion 3-1, 70.555556, 64.444444, 43.333333, 2140.924443
Particion 3-2, 74.444444, 72.222222, 43.333333, 2191.215382
Particion 4-1, 76.111111, 70.000000, 60.000000, 2164.724525
Particion 4-2, 72.777778, 72.777778, 47.777778, 2069.990044
Particion 5-1, 71.111111, 70.555556, 55.555556, 1931.143599
Particion 5-2, 77.222222, 67.777778, 51.111111, 1825.533979
Media, 74.111111, 70.055556, 51.333333, 1985.124829
