partition,in,out,red,T
Particion 1-1, 73.3333, 70.5556, 0.0000, 0.4966
Particion 1-2, 63.3333, 68.8889, 0.0000, 0.4193
Particion 2-1, 66.1111, 71.1111, 0.0000, 0.4255
Particion 2-2, 58.8889, 76.6667, 0.0000, 0.4233
Particion 3-1, 68.3333, 72.7778, 0.0000, 0.4210
Particion 3-2, 63.3333, 71.6667, 0.0000, 0.4283
Particion 4-1, 63.8889, 71.6667, 0.0000, 0.4209
Particion 4-2, 65.0000, 75.5556, 0.0000, 0.4251
Particion 5-1, 63.3333, 65.5556, 0.0000, 0.4249
Particion 5-2, 67.2222, 70.5556, 0.0000, 0.4298
Media, 65.2778, 71.5000, 0.0000, 0.4315
