partition,in,out,red,T
Particion 1-1, 73.3333333333, 73.8888888889, 55.5555555556, 84.7747290134
Particion 1-2, 68.8888888889, 68.8888888889, 42.2222222222, 35.9078192711
Particion 2-1, 68.3333333333, 67.7777777778, 46.6666666667, 74.8362314701
Particion 2-2, 71.1111111111, 72.2222222222, 53.3333333333, 44.2420053482
Particion 3-1, 73.8888888889, 67.2222222222, 47.7777777778, 51.2762582302
Particion 3-2, 70.0, 69.4444444444, 52.2222222222, 46.0677022934
Particion 4-1, 63.3333333333, 72.7777777778, 52.2222222222, 70.8917880058
Particion 4-2, 66.6666666667, 70.0, 42.2222222222, 44.8350207806
Particion 5-1, 73.3333333333, 72.2222222222, 50.0, 44.7806932926
Particion 5-2, 69.4444444444, 68.8888888889, 56.6666666667, 116.270061016
Media, 69.8333333333, 70.3333333333, 49.8888888889, 61.3882308722
