partition,in,out,red,T
Particion 1-1, 70.0, 61.6666666667, 45.5555555556, 650.73251009
Particion 1-2, 72.7777777778, 67.2222222222, 42.2222222222, 644.727091551
Particion 2-1, 70.5555555556, 67.2222222222, 40.0, 655.570447922
Particion 2-2, 75.0, 68.8888888889, 50.0, 631.594865561
Particion 3-1, 70.5555555556, 66.1111111111, 57.7777777778, 607.330384254
Particion 3-2, 70.0, 75.0, 46.6666666667, 636.624734879
Particion 4-1, 67.2222222222, 65.0, 52.2222222222, 625.698409796
Particion 4-2, 71.1111111111, 71.6666666667, 53.3333333333, 647.369974375
Particion 5-1, 65.0, 70.5555555556, 53.3333333333, 726.695872545
Particion 5-2, 70.5555555556, 66.6666666667, 63.3333333333, 705.632786512
Media, 70.2777777778, 68.0, 50.4444444444, 653.197707748
