partition,in,out,red,T
Particion 1-1, 73.8888888889, 62.2222222222, 90.0, 224.398621082
Particion 1-2, 72.2222222222, 72.2222222222, 91.1111111111, 200.029633284
Particion 2-1, 70.5555555556, 71.1111111111, 88.8888888889, 248.445099592
Particion 2-2, 80.5555555556, 67.2222222222, 84.4444444444, 330.451693535
Particion 3-1, 73.8888888889, 69.4444444444, 92.2222222222, 179.52721715
Particion 3-2, 73.3333333333, 68.8888888889, 91.1111111111, 203.281678677
Particion 4-1, 75.0, 71.6666666667, 87.7777777778, 265.596814871
Particion 4-2, 70.0, 67.2222222222, 90.0, 219.478856087
Particion 5-1, 71.6666666667, 69.4444444444, 91.1111111111, 206.351277828
Particion 5-2, 72.7777777778, 67.2222222222, 88.8888888889, 251.199744225
Media, 73.3888888889, 68.6666666667, 89.5555555556, 232.876063633
