partition,in,out,red,T
Particion 1-1, 78.3333333333, 64.4444444444, 51.1111111111, 1575.11145759
Particion 1-2, 75.5555555556, 71.6666666667, 54.4444444444, 1642.29365516
Particion 2-1, 72.2222222222, 66.6666666667, 55.5555555556, 1589.2539041
Particion 2-2, 75.0, 73.3333333333, 64.4444444444, 1554.18886781
Particion 3-1, 72.7777777778, 72.2222222222, 61.1111111111, 1561.87177801
Particion 3-2, 76.6666666667, 71.6666666667, 50.0, 1597.19632721
Particion 4-1, 78.8888888889, 72.7777777778, 53.3333333333, 1592.49579
Particion 4-2, 71.1111111111, 71.1111111111, 61.1111111111, 1538.8533051
Particion 5-1, 76.6666666667, 72.2222222222, 46.6666666667, 1579.78571701
Particion 5-2, 74.4444444444, 69.4444444444, 61.1111111111, 1539.23188066
Media, 75.1666666667, 70.5555555556, 55.8888888889, 1577.02826827
