partition,in,out,red,T
Particion 1-1, 99.2957746479, 92.9824561404, 46.6666666667, 1973.07261348
Particion 1-2, 98.2456140351, 94.7183098592, 66.6666666667, 2351.67472029
Particion 2-1, 98.2394366197, 95.4385964912, 50.0, 2252.487077
Particion 2-2, 97.8947368421, 96.4788732394, 53.3333333333, 2259.8203938
Particion 3-1, 97.8873239437, 96.1403508772, 43.3333333333, 2277.93732619
Particion 3-2, 97.8947368421, 95.4225352113, 33.3333333333, 2432.14422536
Particion 4-1, 97.8873239437, 96.4912280702, 56.6666666667, 2398.23822498
Particion 4-2, 98.9473684211, 95.4225352113, 43.3333333333, 2373.84969497
Particion 5-1, 98.9436619718, 95.7894736842, 46.6666666667, 2357.72073674
Particion 5-2, 97.5438596491, 94.3661971831, 53.3333333333, 2141.4067297
Media, 98.278, 95.3251, 49.3333, 2281.8352
