partition,in,out,red,T
Particion 1-1, 95.7746478873, 95.0877192982, 46.6666666667, 17.1710252762
Particion 1-2, 97.8947368421, 95.7746478873, 60.0, 24.8249623775
Particion 2-1, 95.7746478873, 96.8421052632, 53.3333333333, 18.3396656513
Particion 2-2, 99.298245614, 95.0704225352, 53.3333333333, 29.5760538578
Particion 3-1, 98.2394366197, 95.4385964912, 40.0, 27.5046606064
Particion 3-2, 97.1929824561, 97.1830985915, 50.0, 22.5515475273
Particion 4-1, 98.2394366197, 97.5438596491, 46.6666666667, 19.7761828899
Particion 4-2, 97.1929824561, 95.7746478873, 50.0, 41.9688694477
Particion 5-1, 98.2394366197, 96.8421052632, 40.0, 19.8151884079
Particion 5-2, 94.0350877193, 95.0704225352, 43.3333333333, 27.7983191013
Media, 97.1881640722, 96.0627625402, 48.3333333333, 24.9326475143
