partition,in,out,red,T
Particion 1-1, 98.9436619718, 95.0877192982, 36.6666666667, 257.099721193
Particion 1-2, 96.8421052632, 96.8309859155, 43.3333333333, 247.013307571
Particion 2-1, 96.1267605634, 96.1403508772, 43.3333333333, 246.553385258
Particion 2-2, 97.5438596491, 96.4788732394, 46.6666666667, 242.082397461
Particion 3-1, 98.2394366197, 96.8421052632, 56.6666666667, 242.103654385
Particion 3-2, 96.8421052632, 96.8309859155, 40.0, 242.534446001
Particion 4-1, 96.8309859155, 94.3859649123, 50.0, 236.838742495
Particion 4-2, 97.8947368421, 94.3661971831, 60.0, 243.45225358
Particion 5-1, 97.1830985915, 96.4912280702, 36.6666666667, 243.944361448
Particion 5-2, 97.1929824561, 95.7746478873, 53.3333333333, 238.982653618
Media, 97.3639733136, 95.9229058562, 46.6666666667, 244.060492301
