partition,in,out,red,T
Particion 1-1, 97.5352112676, 92.6315789474, 86.6666666667, 48.1518445015
Particion 1-2, 96.4912280702, 93.661971831, 90.0, 42.1663861275
Particion 2-1, 96.8309859155, 93.6842105263, 90.0, 45.4097900391
Particion 2-2, 97.8947368421, 96.8309859155, 80.0, 74.2570743561
Particion 3-1, 97.5352112676, 94.7368421053, 83.3333333333, 59.1569068432
Particion 3-2, 97.1929824561, 95.4225352113, 86.6666666667, 50.8267328739
Particion 4-1, 95.0704225352, 93.3333333333, 90.0, 41.748288393
Particion 4-2, 98.2456140351, 95.0704225352, 86.6666666667, 53.6619796753
Particion 5-1, 98.9436619718, 96.1403508772, 76.6666666667, 74.2298698425
Particion 5-2, 96.4912280702, 92.2535211268, 90.0, 40.5725841522
Media, 97.2231, 94.3766, 86.0, 53.0181
