partition,in,out,red,T
Particion 1-1, 98.239437, 95.438596, 53.333333, 2020.438062
Particion 1-2, 98.947368, 94.718310, 43.333333, 2060.210672
Particion 2-1, 97.887324, 95.789474, 60.000000, 2021.041274
Particion 2-2, 99.649123, 95.070423, 40.000000, 2257.640284
Particion 3-1, 98.943662, 94.385965, 46.666667, 2357.570994
Particion 3-2, 97.894737, 96.478873, 40.000000, 2127.706107
Particion 4-1, 98.591549, 94.385965, 53.333333, 1850.027431
Particion 4-2, 98.596491, 95.774648, 56.666667, 1865.964258
Particion 5-1, 99.647887, 95.438596, 46.666667, 1866.103091
Particion 5-2, 97.543860, 96.478873, 50.000000, 1867.056036
Media, 98.5941, 95.396, 49.0, 2029.376
