partition,in,out,red,T
Particion 1-1, 77.8351, 64.0625, 50.1976, 737.8035
Particion 1-2, 70.3125, 62.3711, 50.1976, 731.1191
Particion 2-1, 73.7113, 66.1458, 52.1739, 844.0765
Particion 2-2, 74.4792, 66.4948, 56.9170, 880.9571
Particion 3-1, 70.6186, 65.6250, 56.9170, 670.4829
Particion 3-2, 73.9583, 65.9794, 54.1502, 898.8429
Particion 4-1, 69.5876, 63.5417, 56.1265, 636.5153
Particion 4-2, 75.0000, 67.0103, 47.4308, 929.0148
Particion 5-1, 76.2887, 65.1042, 50.9881, 713.8755
Particion 5-2, 72.9167, 66.4948, 58.4980, 805.7788
Media, 73.4708, 65.2830, 53.3597, 784.8466
Max, 77.8351, 67.0103, 58.4980, 929.0148
Min, 69.5876, 62.3711, 47.4308, 636.5153
Desv. Típica,2.5325, 1.4248, 3.4953, 96.0110
