partition,in,out,red,T
Particion 1-1, 64.5833, 63.9175, 0.0000, 0.4528
Particion 1-2, 62.8866, 65.6250, 0.0000, 0.5587
Particion 2-1, 63.5417, 65.4639, 0.0000, 0.6544
Particion 2-2, 64.9485, 65.1042, 0.0000, 0.5755
Particion 3-1, 65.1042, 65.9794, 0.0000, 0.4620
Particion 3-2, 67.0103, 64.0625, 0.0000, 0.4653
Particion 4-1, 66.1458, 60.8247, 0.0000, 0.4652
Particion 4-2, 65.9794, 64.5833, 0.0000, 0.4604
Particion 5-1, 60.4167, 67.5258, 0.0000, 0.4589
Particion 5-2, 65.9794, 60.9375, 0.0000, 0.4559
Media, 64.6596, 64.4024, 0.0000, 0.5009
