partition,in,out,red,T
Particion 1-1, 75.0000, 72.2222, 46.6667, 126.2648
Particion 1-2, 80.0000, 77.2222, 41.1111, 151.8762
Particion 2-1, 81.6667, 68.3333, 42.2222, 126.9156
Particion 2-2, 76.6667, 74.4444, 35.5556, 103.2659
Particion 3-1, 71.1111, 77.7778, 44.4444, 106.3906
Particion 3-2, 80.5556, 79.4444, 51.1111, 121.6177
Particion 4-1, 81.1111, 73.8889, 26.6667, 166.7507
Particion 4-2, 78.8889, 73.3333, 43.3333, 115.7885
Particion 5-1, 80.5556, 71.1111, 41.1111, 134.3802
Particion 5-2, 78.3333, 73.3333, 48.8889, 128.7349
Media, 78.3889, 74.1111, 42.1111, 128.1985
Max, 81.6667, 79.4444, 51.1111, 166.7507
Min, 71.1111, 71.1111, 26.6667, 103.2659
Desv. Típica,3.1274, 3.1447, 6.6193, 18.3993
