partition,in,out,red,T
Particion 1-1, 76.6667, 70.5556, 81.1111, 35.2843
Particion 1-2, 81.6667, 75.5556, 74.4444, 47.3416
Particion 2-1, 83.8889, 70.5556, 58.8889, 57.6303
Particion 2-2, 75.5556, 75.5556, 64.4444, 52.4627
Particion 3-1, 70.0000, 76.1111, 58.8889, 54.8985
Particion 3-2, 80.5556, 80.5556, 57.7778, 54.1712
Particion 4-1, 81.6667, 77.7778, 50.0000, 59.3037
Particion 4-2, 84.4444, 69.4444, 54.4444, 66.3640
Particion 5-1, 79.4444, 73.8889, 47.7778, 67.0545
Particion 5-2, 78.3333, 76.1111, 48.8889, 58.8591
Media, 79.2222, 74.6111, 59.6667, 55.3370
Max, 84.4444, 80.5556, 81.1111, 67.0545
Min, 70.0000, 69.4444, 47.7778, 35.2843
Desv. Típica,4.1066, 3.3430, 10.4119, 8.7644
