partition,in,out,red,T
Particion 1-1, 97.8947, 96.4789, 60.0000, 9.0498
Particion 1-2, 99.6479, 93.3333, 40.0000, 8.9142
Particion 2-1, 98.2456, 96.8310, 66.6667, 9.4357
Particion 2-2, 97.8873, 95.7895, 43.3333, 8.9942
Particion 3-1, 97.8947, 94.7183, 66.6667, 8.5770
Particion 3-2, 98.2394, 96.4912, 60.0000, 7.3264
Particion 4-1, 98.9474, 95.0704, 60.0000, 8.7240
Particion 4-2, 97.8873, 94.3860, 60.0000, 8.7536
Particion 5-1, 97.5439, 94.7183, 56.6667, 9.0287
Particion 5-2, 98.9437, 95.0877, 50.0000, 8.8832
Media, 98.3132, 95.2905, 56.3333, 8.7687
Max, 99.6479, 96.8310, 66.6667, 9.4357
Min, 97.5439, 93.3333, 40.0000, 7.3264
Desv. Típica,0.6242, 1.0425, 8.6217, 0.5288
