partition,in,out,red,T
Particion 1-1, 97.5352, 94.0351, 0.0000, 0.4180
Particion 1-2, 95.7895, 95.7746, 0.0000, 0.3960
Particion 2-1, 95.7746, 96.8421, 0.0000, 0.3927
Particion 2-2, 95.4386, 97.1831, 0.0000, 0.3985
Particion 3-1, 97.5352, 96.8421, 0.0000, 0.3917
Particion 3-2, 96.1404, 97.1831, 0.0000, 0.3920
Particion 4-1, 95.7746, 97.1930, 0.0000, 0.3948
Particion 4-2, 95.7895, 96.1268, 0.0000, 0.4017
Particion 5-1, 97.5352, 95.0877, 0.0000, 0.4310
Particion 5-2, 96.1404, 95.0704, 0.0000, 0.4003
Media, 96.3453, 96.1338, 0.0000, 0.4017
Max, 97.5352, 97.1930, 0.0000, 0.4310
Min, 97.5352, 97.1930, 0.0000, 0.4310
Desv. Típica,0.8014, 1.0529, 0.0000, 0.0122
