partition,in,out,red,T
Particion 1-1, 97.5352, 94.0351, 0.0000, 0.3833
Particion 1-2, 95.7895, 95.7746, 0.0000, 0.3982
Particion 2-1, 95.7746, 96.8421, 0.0000, 0.3878
Particion 2-2, 95.4386, 97.1831, 0.0000, 0.3896
Particion 3-1, 97.5352, 96.8421, 0.0000, 0.3845
Particion 3-2, 96.1404, 97.1831, 0.0000, 0.3825
Particion 4-1, 95.7746, 97.1930, 0.0000, 0.3847
Particion 4-2, 95.7895, 96.1268, 0.0000, 0.3781
Particion 5-1, 97.5352, 95.0877, 0.0000, 0.3808
Particion 5-2, 96.1404, 95.0704, 0.0000, 0.3818
Media, 96.3453, 96.1338, 0.0000, 0.3851
Max, 97.5352, 97.1930, 0.0000, 0.3982
Min, 97.5352, 97.1930, 0.0000, 0.3982
Desv. Típica,0.8014, 1.0529, 0.0000, 0.0054
