partition,in,out,red,T
Particion 1-1, 85.0515, 73.9583, 92.8854, 191.9178
Particion 1-2, 78.6458, 72.1649, 87.3518, 199.0155
Particion 2-1, 80.4124, 71.3542, 90.9091, 193.9727
Particion 2-2, 80.2083, 72.1649, 84.1897, 252.4235
Particion 3-1, 80.9278, 70.8333, 78.2609, 236.8755
Particion 3-2, 80.2083, 71.1340, 78.2609, 327.0603
Particion 4-1, 78.8660, 73.4375, 76.2846, 307.5072
Particion 4-2, 82.8125, 69.0722, 70.7510, 585.1382
Particion 5-1, 80.4124, 68.2292, 68.7747, 466.6614
Particion 5-2, 79.1667, 66.4948, 67.9842, 629.5999
Media, 80.6712, 70.8843, 79.5652, 339.0172
Max, 85.0515, 73.9583, 92.8854, 629.5999
Min, 78.6458, 66.4948, 67.9842, 191.9178
Desv. Típica,1.8446, 2.2166, 8.5471, 155.7725
