partition,in,out,red,T
Particion 1-1, 80.9278, 61.9792, 50.9881, 742.3719
Particion 1-2, 72.9167, 62.3711, 53.3597, 675.2898
Particion 2-1, 75.2577, 66.1458, 56.1265, 678.0366
Particion 2-2, 76.5625, 67.0103, 51.7787, 689.1710
Particion 3-1, 75.2577, 64.5833, 58.1028, 595.5180
Particion 3-2, 75.0000, 67.5258, 53.3597, 718.6257
Particion 4-1, 72.6804, 64.0625, 55.3360, 639.6620
Particion 4-2, 79.1667, 63.9175, 55.7312, 671.2428
Particion 5-1, 78.3505, 65.1042, 57.7075, 630.6454
Particion 5-2, 76.5625, 67.5258, 54.5455, 724.5674
Media, 76.2683, 65.0226, 54.7036, 676.5131
Max, 80.9278, 67.5258, 58.1028, 742.3719
Min, 72.6804, 61.9792, 50.9881, 595.5180
Desv. Típica,2.4976, 1.9073, 2.2373, 43.1670
