partition,in,out,red,T
Particion 1-1, 81.4433, 64.0625, 71.1462, 482.7038
Particion 1-2, 70.8333, 61.8557, 75.0988, 504.0793
Particion 2-1, 75.7732, 61.9792, 62.0553, 569.0671
Particion 2-2, 79.1667, 69.5876, 76.2846, 480.6635
Particion 3-1, 73.1959, 64.5833, 69.5652, 497.3879
Particion 3-2, 77.0833, 66.4948, 70.7510, 578.3925
Particion 4-1, 74.7423, 65.1042, 67.5889, 502.5256
Particion 4-2, 77.6042, 63.9175, 60.8696, 660.7560
Particion 5-1, 79.8969, 67.1875, 70.7510, 472.8129
Particion 5-2, 78.6458, 69.5876, 68.7747, 610.2032
Media, 76.8385, 65.4360, 69.2885, 535.8592
Max, 81.4433, 69.5876, 76.2846, 660.7560
Min, 70.8333, 61.8557, 60.8696, 472.8129
Desv. Típica,3.0782, 2.6165, 4.6568, 61.2259
