partition,in,out,red,T
Particion 1-1, 74.4444, 75.5556, 53.3333, 158.5543
Particion 1-2, 78.3333, 77.2222, 43.3333, 196.4711
Particion 2-1, 81.1111, 68.3333, 37.7778, 234.1444
Particion 2-2, 77.2222, 76.1111, 43.3333, 197.4819
Particion 3-1, 68.8889, 76.1111, 52.2222, 164.8494
Particion 3-2, 79.4444, 80.5556, 47.7778, 176.2172
Particion 4-1, 80.0000, 71.1111, 52.2222, 164.2903
Particion 4-2, 79.4444, 72.7778, 53.3333, 159.7640
Particion 5-1, 78.3333, 70.5556, 43.3333, 196.7524
Particion 5-2, 77.7778, 76.1111, 46.6667, 178.5723
Media, 77.5000, 74.4444, 47.3333, 182.7097
Max, 81.1111, 80.5556, 53.3333, 234.1444
Min, 68.8889, 68.3333, 37.7778, 158.5543
Desv. Típica,3.3449, 3.4783, 5.0966, 22.5341
