partition,in,out,red,T
Particion 1-1, 76.6667, 73.3333, 52.2222, 169.9091
Particion 1-2, 81.1111, 76.1111, 43.3333, 196.4689
Particion 2-1, 80.5556, 68.3333, 44.4444, 192.8445
Particion 2-2, 77.7778, 75.0000, 41.1111, 210.5201
Particion 3-1, 70.0000, 76.6667, 50.0000, 174.6819
Particion 3-2, 79.4444, 78.3333, 44.4444, 198.2730
Particion 4-1, 81.6667, 76.1111, 30.0000, 292.8096
Particion 4-2, 81.1111, 72.2222, 40.0000, 208.4721
Particion 5-1, 80.0000, 72.2222, 52.2222, 169.1032
Particion 5-2, 81.6667, 75.5556, 51.1111, 172.7017
Media, 79.0000, 74.3889, 44.8889, 198.5784
Max, 81.6667, 78.3333, 52.2222, 292.8096
Min, 70.0000, 68.3333, 30.0000, 169.1032
Desv. Típica,3.3866, 2.7493, 6.5959, 34.7689
