partition,in,out,red,T
Particion 1-1, 76.1111, 76.6667, 58.8889, 51.3140
Particion 1-2, 80.0000, 75.0000, 50.0000, 46.1410
Particion 2-1, 80.5556, 66.1111, 52.2222, 45.3590
Particion 2-2, 78.3333, 75.5556, 55.5556, 52.9768
Particion 3-1, 73.8889, 74.4444, 62.2222, 47.8783
Particion 3-2, 80.5556, 78.8889, 52.2222, 42.0196
Particion 4-1, 82.2222, 70.0000, 60.0000, 48.8344
Particion 4-2, 82.2222, 71.6667, 62.2222, 45.5346
Particion 5-1, 80.5556, 68.8889, 63.3333, 43.4099
Particion 5-2, 81.1111, 76.1111, 63.3333, 44.6671
Media, 79.5556, 73.3333, 58.0000, 46.8135
Max, 82.2222, 78.8889, 63.3333, 52.9768
Min, 73.8889, 66.1111, 50.0000, 42.0196
Desv. Típica,2.5556, 3.8006, 4.8381, 3.2686
