partition,in,out,red,T
Particion 1-1, 97.5439, 95.7747, 33.3333, 124.6264
Particion 1-2, 99.2958, 93.6842, 16.6667, 138.8021
Particion 2-1, 97.8947, 95.7747, 26.6667, 136.7042
Particion 2-2, 98.5916, 96.1404, 36.6667, 116.1149
Particion 3-1, 97.5439, 96.1268, 30.0000, 127.1494
Particion 3-2, 97.8873, 96.4912, 23.3333, 141.5607
Particion 4-1, 98.5965, 94.3662, 43.3333, 106.9259
Particion 4-2, 98.2394, 94.0351, 50.0000, 93.6969
Particion 5-1, 97.5439, 95.7747, 46.6667, 101.2581
Particion 5-2, 98.9437, 95.4386, 26.6667, 133.5645
Media, 98.2081, 95.3606, 33.3333, 122.0403
Max, 99.2958, 96.4912, 50.0000, 141.5607
Min, 97.5439, 93.6842, 16.6667, 93.6969
Desv. Típica,0.5956, 0.9247, 10.2198, 15.9419
