partition,in,out,red,T
Particion 1-1, 97.1930, 96.8310, 23.3333, 139.0116
Particion 1-2, 99.2958, 95.0877, 13.3333, 156.8268
Particion 2-1, 98.2456, 96.1268, 60.0000, 81.7714
Particion 2-2, 97.8873, 93.6842, 36.6667, 118.3108
Particion 3-1, 98.2456, 96.4789, 40.0000, 111.1706
Particion 3-2, 97.8873, 95.7895, 16.6667, 154.2154
Particion 4-1, 98.9474, 95.7747, 43.3333, 106.9303
Particion 4-2, 97.5352, 96.1404, 40.0000, 112.5959
Particion 5-1, 97.5439, 95.7747, 36.6667, 118.0578
Particion 5-2, 98.9437, 96.4912, 36.6667, 115.4038
Media, 98.1725, 95.8179, 34.6667, 121.4294
Max, 99.2958, 96.8310, 60.0000, 156.8268
Min, 97.1930, 93.6842, 13.3333, 81.7714
Desv. Típica,0.6626, 0.8489, 13.0128, 21.5886
