partition,in,out,red,T
Particion 1-1, 98.2456, 95.0704, 43.3333, 7.8924
Particion 1-2, 99.2958, 94.3860, 43.3333, 7.2976
Particion 2-1, 97.8947, 97.1831, 56.6667, 6.6382
Particion 2-2, 98.5916, 95.0877, 53.3333, 7.4998
Particion 3-1, 98.5965, 95.7747, 73.3333, 5.2630
Particion 3-2, 98.2394, 96.8421, 53.3333, 7.2592
Particion 4-1, 98.9474, 94.3662, 43.3333, 7.4867
Particion 4-2, 97.8873, 95.0877, 56.6667, 9.0106
Particion 5-1, 97.5439, 95.0704, 60.0000, 7.5720
Particion 5-2, 98.9437, 96.1404, 53.3333, 6.8579
Media, 98.4186, 95.5009, 53.6667, 7.2777
Max, 99.2958, 97.1831, 73.3333, 9.0106
Min, 97.5439, 94.3662, 43.3333, 5.2630
Desv. Típica,0.5263, 0.9141, 8.7496, 0.9058
