partition,in,out,red,T
Particion 1-1, 97.8947, 96.4789, 43.3333, 103.2269
Particion 1-2, 99.2958, 93.3333, 53.3333, 73.3013
Particion 2-1, 98.2456, 95.7747, 53.3333, 73.2874
Particion 2-2, 98.2394, 96.1404, 40.0000, 87.6747
Particion 3-1, 98.5965, 94.3662, 60.0000, 74.5260
Particion 3-2, 97.8873, 95.4386, 26.6667, 102.5508
Particion 4-1, 98.9474, 95.4225, 66.6667, 63.3089
Particion 4-2, 97.8873, 95.0877, 40.0000, 98.1373
Particion 5-1, 97.8947, 95.0704, 46.6667, 96.1828
Particion 5-2, 99.2958, 95.0877, 50.0000, 93.3565
Media, 98.4185, 95.2200, 48.0000, 86.5553
Max, 99.2958, 96.4789, 66.6667, 103.2269
Min, 97.8873, 93.3333, 26.6667, 63.3089
Desv. Típica,0.5500, 0.8470, 10.7703, 13.5829
