partition,in,out,red,T
Particion 1-1, 98.5965, 97.1831, 56.6667, 76.2891
Particion 1-2, 99.2958, 95.0877, 46.6667, 87.2603
Particion 2-1, 98.2456, 96.1268, 33.3333, 102.8340
Particion 2-2, 97.8873, 96.4912, 46.6667, 87.0733
Particion 3-1, 97.8947, 94.7183, 50.0000, 87.5283
Particion 3-2, 98.2394, 95.0877, 53.3333, 76.7275
Particion 4-1, 98.9474, 96.1268, 70.0000, 66.1774
Particion 4-2, 97.8873, 94.3860, 53.3333, 71.9413
Particion 5-1, 97.5439, 95.7747, 43.3333, 96.6748
Particion 5-2, 98.5916, 95.4386, 46.6667, 92.3847
Media, 98.3130, 95.6421, 50.0000, 84.4891
Max, 99.2958, 97.1831, 70.0000, 102.8340
Min, 97.5439, 94.3860, 33.3333, 66.1774
Desv. Típica,0.5162, 0.8167, 9.0676, 10.9142
