partition,in,out,red,T
Particion 1-1, 80.9278, 63.5417, 58.8933, 576.4548
Particion 1-2, 72.9167, 57.7320, 60.4743, 705.5770
Particion 2-1, 74.7423, 64.5833, 55.7312, 647.4060
Particion 2-2, 76.5625, 67.5258, 53.3597, 813.8733
Particion 3-1, 73.7113, 63.5417, 54.1502, 665.4864
Particion 3-2, 77.6042, 67.5258, 63.2411, 688.9351
Particion 4-1, 74.7423, 63.0208, 58.1028, 602.0621
Particion 4-2, 80.7292, 62.3711, 58.1028, 706.1450
Particion 5-1, 79.3814, 67.1875, 58.4980, 634.4589
Particion 5-2, 76.0417, 63.4021, 54.9407, 756.1972
Media, 76.7359, 64.0432, 57.5494, 679.6595
Max, 80.9278, 67.5258, 63.2411, 813.8733
Min, 72.9167, 57.7320, 53.3597, 576.4548
Desv. Típica,2.7105, 2.8111, 2.8894, 67.2959
