partition,in,out,red,T
Particion 1-1, 78.8660, 64.5833, 51.7787, 944.1658
Particion 1-2, 71.3542, 63.9175, 46.2451, 909.9733
Particion 2-1, 72.1649, 61.9792, 52.5692, 819.0515
Particion 2-2, 73.9583, 68.0412, 54.1502, 1008.5635
Particion 3-1, 71.1340, 66.1458, 53.3597, 855.8770
Particion 3-2, 72.9167, 68.5567, 48.6166, 1112.7615
Particion 4-1, 71.1340, 64.5833, 53.7549, 871.6672
Particion 4-2, 76.5625, 67.5258, 53.3597, 959.1026
Particion 5-1, 76.8041, 63.0208, 50.1976, 871.0139
Particion 5-2, 73.4375, 64.9485, 50.1976, 1097.4655
Media, 73.8332, 65.3302, 51.4229, 944.9642
Max, 78.8660, 68.5567, 54.1502, 1112.7615
Min, 71.1340, 61.9792, 46.2451, 819.0515
Desv. Típica,2.5713, 2.0752, 2.4394, 95.6629
