partition,in,out,red,T
Particion 1-1, 77.3196, 64.0625, 62.0553, 541.4460
Particion 1-2, 71.3542, 58.7629, 67.5889, 641.6245
Particion 2-1, 74.2268, 61.4583, 61.2648, 590.3465
Particion 2-2, 73.9583, 65.4639, 66.4032, 617.3759
Particion 3-1, 74.7423, 65.1042, 63.6364, 564.3825
Particion 3-2, 76.0417, 65.4639, 65.6126, 622.4327
Particion 4-1, 76.2887, 69.2708, 70.7510, 471.4687
Particion 4-2, 76.0417, 65.4639, 67.9842, 616.7797
Particion 5-1, 75.2577, 62.5000, 61.2648, 608.6627
Particion 5-2, 72.3958, 62.8866, 62.4506, 691.9257
Media, 74.7627, 64.0437, 64.9012, 596.6445
Max, 77.3196, 69.2708, 70.7510, 691.9257
Min, 71.3542, 58.7629, 61.2648, 471.4687
Desv. Típica,1.7475, 2.6980, 3.0962, 57.0462
