partition,in,out,red,T
Partición 1-1, 80.9278, 67.7083, 54.9407, 630.9151
Partición 1-2, 73.4375, 58.7629, 54.5455, 800.7797
Partición 2-1, 77.8351, 64.0625, 50.5929, 653.8521
Partición 2-2, 75.5208, 67.5258, 52.9644, 765.9838
Partición 3-1, 73.7113, 60.9375, 55.7312, 659.6037
Partición 3-2, 79.1667, 65.9794, 52.9644, 742.6846
Partición 4-1, 77.3196, 66.1458, 59.2885, 605.6255
Partición 4-2, 79.6875, 65.4639, 54.1502, 753.1295
Partición 5-1, 80.4124, 63.5417, 52.9644, 602.1544
Partición 5-2, 76.0417, 68.0412, 48.6166, 775.2747
Media, 77.4060, 64.8169, 53.6759, 699.0004
Max, 80.9278, 68.0412, 59.2885, 800.7797
Min, 73.4375, 58.7629, 48.6166, 602.1544
Desv. Típica,2.5447, 2.8901, 2.7373, 71.9902
