partition,in,out,red,T
Particion 1-1, 82.4742, 64.0625, 34.7826, 846.7426
Particion 1-2, 70.8333, 62.8866, 28.4585, 1038.1132
Particion 2-1, 73.1959, 66.1458, 24.1107, 911.6371
Particion 2-2, 74.4792, 68.5567, 34.3874, 990.7866
Particion 3-1, 74.2268, 64.5833, 23.7154, 952.9480
Particion 3-2, 78.1250, 65.9794, 35.1779, 959.9031
Particion 4-1, 70.1031, 63.0208, 23.3202, 938.3802
Particion 4-2, 81.2500, 65.9794, 32.8063, 974.0427
Particion 5-1, 75.2577, 62.5000, 28.0632, 896.1235
Particion 5-2, 76.5625, 66.4948, 31.6206, 1000.6204
Media, 75.6508, 65.0210, 29.6443, 950.9298
Max, 82.4742, 68.5567, 35.1779, 1038.1132
Min, 70.1031, 62.5000, 23.3202, 846.7426
Desv. Típica,3.8527, 1.8384, 4.5066, 52.7613
