partition,in,out,red,T
Partición 1-1, 63.9175, 60.9375, 0.0000, 0.1014
Partición 1-2, 63.5417, 61.8557, 0.0000, 0.1094
Partición 2-1, 59.7938, 64.0625, 0.0000, 0.0967
Partición 2-2, 64.0625, 63.4021, 0.0000, 0.1089
Partición 3-1, 63.9175, 63.5417, 0.0000, 0.0967
Partición 3-2, 63.5417, 63.4021, 0.0000, 0.1087
Partición 4-1, 63.4021, 62.5000, 0.0000, 0.0967
Partición 4-2, 64.5833, 64.9485, 0.0000, 0.1088
Partición 5-1, 64.9485, 63.5417, 0.0000, 0.0968
Partición 5-2, 63.0208, 61.8557, 0.0000, 0.1087
Media, 63.4729, 63.0047, 0.0000, 0.1033
Max, 64.9485, 64.9485, 0.0000, 0.1094
Min, 59.7938, 60.9375, 0.0000, 0.0967
Desv. Típica,1.3382, 1.1383, 0.0000, 0.0058
