partition,in,out,red,T
Particion 1-1, 76.6667, 74.4444, 60.0000, 139.6861
Particion 1-2, 80.0000, 77.2222, 43.3333, 193.9739
Particion 2-1, 81.6667, 68.8889, 52.2222, 169.8079
Particion 2-2, 76.6667, 72.2222, 56.6667, 142.7868
Particion 3-1, 73.3333, 76.6667, 52.2222, 156.8608
Particion 3-2, 81.1111, 80.0000, 50.0000, 164.7113
Particion 4-1, 81.6667, 74.4444, 56.6667, 147.7181
Particion 4-2, 77.7778, 72.2222, 51.1111, 151.8004
Particion 5-1, 80.5556, 71.6667, 66.6667, 123.4921
Particion 5-2, 82.2222, 77.2222, 53.3333, 151.4948
Media, 79.1667, 74.5000, 54.2222, 154.2332
Max, 82.2222, 80.0000, 66.6667, 193.9739
Min, 73.3333, 68.8889, 43.3333, 123.4921
Desv. Típica,2.7694, 3.1569, 5.9587, 18.1166
