partition,in,out,red,T
Particion 1-1, 71.1111, 75.5556, 53.3333, 153.6030
Particion 1-2, 80.0000, 75.0000, 61.1111, 140.6217
Particion 2-1, 79.4444, 68.3333, 64.4444, 123.4238
Particion 2-2, 73.8889, 77.2222, 41.1111, 200.9673
Particion 3-1, 70.0000, 75.5556, 51.1111, 164.7155
Particion 3-2, 81.1111, 79.4444, 55.5556, 149.0093
Particion 4-1, 80.5556, 70.0000, 54.4444, 152.3956
Particion 4-2, 80.0000, 71.1111, 53.3333, 154.4069
Particion 5-1, 77.7778, 73.8889, 54.4444, 148.5065
Particion 5-2, 77.7778, 75.5556, 51.1111, 174.8954
Media, 77.1667, 74.1667, 54.0000, 156.2545
Max, 81.1111, 79.4444, 64.4444, 200.9673
Min, 70.0000, 68.3333, 41.1111, 123.4238
Desv. Típica,3.8446, 3.2323, 5.8836, 19.6937
