partition,in,out,red,T
Particion 1-1, 77.7778, 75.5556, 64.4444, 136.6319
Particion 1-2, 83.3333, 75.0000, 63.3333, 139.9210
Particion 2-1, 82.7778, 68.3333, 57.7778, 139.3208
Particion 2-2, 77.7778, 72.2222, 58.8889, 145.0618
Particion 3-1, 72.2222, 80.5556, 62.2222, 146.3931
Particion 3-2, 81.1111, 80.5556, 54.4444, 156.2113
Particion 4-1, 81.1111, 74.4444, 45.5556, 165.5814
Particion 4-2, 80.5556, 71.6667, 55.5556, 154.0673
Particion 5-1, 81.1111, 70.0000, 54.4444, 158.4285
Particion 5-2, 80.5556, 77.2222, 47.7778, 173.4431
Media, 79.8333, 74.5556, 56.4444, 151.5060
Max, 83.3333, 80.5556, 64.4444, 173.4431
Min, 72.2222, 68.3333, 45.5556, 136.6319
Desv. Típica,3.0535, 3.9189, 5.9587, 11.5220
