partition,in,out,red,T
Particion 1-1, 77.2222, 75.0000, 50.0000, 154.3893
Particion 1-2, 82.2222, 72.7778, 54.4444, 181.8300
Particion 2-1, 81.6667, 67.7778, 53.3333, 180.1475
Particion 2-2, 76.6667, 72.7778, 51.1111, 189.5500
Particion 3-1, 73.8889, 78.3333, 53.3333, 170.8221
Particion 3-2, 81.1111, 77.7778, 54.4444, 157.1647
Particion 4-1, 82.2222, 73.8889, 53.3333, 172.0597
Particion 4-2, 82.2222, 75.5556, 64.4444, 146.3351
Particion 5-1, 81.6667, 70.0000, 48.8889, 168.7696
Particion 5-2, 82.7778, 75.5556, 56.6667, 169.9406
Media, 80.1667, 73.9444, 54.0000, 169.1009
Max, 82.7778, 78.3333, 64.4444, 189.5500
Min, 73.8889, 67.7778, 48.8889, 146.3351
Desv. Típica,2.9192, 3.1076, 4.1036, 12.6172
