partition,in,out,red,T
Particion 1-1, 97.8947, 95.0704, 73.3333, 62.6832
Particion 1-2, 99.2958, 94.0351, 66.6667, 77.7619
Particion 2-1, 98.2456, 96.4789, 53.3333, 90.1989
Particion 2-2, 98.2394, 95.7895, 46.6667, 96.6953
Particion 3-1, 98.2456, 97.1831, 43.3333, 105.7714
Particion 3-2, 98.2394, 96.4912, 56.6667, 88.6582
Particion 4-1, 98.5965, 95.4225, 50.0000, 95.4684
Particion 4-2, 98.5916, 96.1404, 53.3333, 89.8702
Particion 5-1, 97.5439, 94.3662, 60.0000, 77.8804
Particion 5-2, 99.2958, 95.7895, 56.6667, 86.4488
Media, 98.4188, 95.6767, 56.0000, 87.1437
Max, 99.2958, 97.1831, 73.3333, 105.7714
Min, 97.5439, 94.0351, 43.3333, 62.6832
Desv. Típica,0.5257, 0.9306, 8.5375, 11.3983
