partition,in,out,red,T
Particion 1-1, 98.2456, 95.4225, 43.3333, 102.8103
Particion 1-2, 0.0000, 0.0000, 0.0000, 0.0000
Particion 2-1, 0.0000, 0.0000, 0.0000, 0.0000
Particion 2-2, 0.0000, 0.0000, 0.0000, 0.0000
Particion 3-1, 0.0000, 0.0000, 0.0000, 0.0000
Particion 3-2, 0.0000, 0.0000, 0.0000, 0.0000
Particion 4-1, 0.0000, 0.0000, 0.0000, 0.0000
Particion 4-2, 0.0000, 0.0000, 0.0000, 0.0000
Particion 5-1, 0.0000, 0.0000, 0.0000, 0.0000
Particion 5-2, 0.0000, 0.0000, 0.0000, 0.0000
Media, 9.8246, 9.5423, 4.3333, 10.2810
Max, 98.2456, 95.4225, 43.3333, 102.8103
Min, 0.0000, 0.0000, 0.0000, 0.0000
Desv. Típica,29.4737, 28.6268, 13.0000, 30.8431
