partition,in,out,red,T
Particion 1-1, 97.8947, 95.4225, 60.0000, 80.9875
Particion 1-2, 99.2958, 94.0351, 70.0000, 77.6759
Particion 2-1, 98.2456, 96.1268, 63.3333, 80.2984
Particion 2-2, 98.2394, 95.4386, 50.0000, 91.9506
Particion 3-1, 97.8947, 95.0704, 70.0000, 66.7825
Particion 3-2, 97.8873, 96.4912, 60.0000, 82.5852
Particion 4-1, 98.2456, 95.0704, 53.3333, 87.4321
Particion 4-2, 97.5352, 94.0351, 60.0000, 78.1363
Particion 5-1, 97.1930, 95.4225, 60.0000, 81.9738
Particion 5-2, 98.5916, 94.7368, 50.0000, 100.4913
Media, 98.1023, 95.1850, 59.6667, 82.8314
Max, 99.2958, 96.4912, 70.0000, 100.4913
Min, 97.1930, 94.0351, 50.0000, 66.7825
Desv. Típica,0.5481, 0.7511, 6.7412, 8.5616
