partition,in,out,red,T
Particion 1-1, 97.5439, 95.7747, 56.6667, 82.8147
Particion 1-2, 99.2958, 95.0877, 46.6667, 97.4404
Particion 2-1, 98.2456, 96.1268, 53.3333, 88.7401
Particion 2-2, 98.2394, 94.7368, 53.3333, 88.9186
Particion 3-1, 98.5965, 95.4225, 56.6667, 86.1501
Particion 3-2, 97.8873, 95.7895, 46.6667, 97.4354
Particion 4-1, 99.2982, 96.4789, 56.6667, 84.4387
Particion 4-2, 97.5352, 98.2456, 46.6667, 97.6009
Particion 5-1, 97.5439, 94.3662, 53.3333, 88.7916
Particion 5-2, 98.9437, 97.1930, 50.0000, 94.8636
Media, 98.3129, 95.9222, 52.0000, 90.7194
Max, 99.2982, 98.2456, 56.6667, 97.6009
Min, 97.5352, 94.3662, 46.6667, 82.8147
Desv. Típica,0.6629, 1.1035, 4.0000, 5.3711
