partition,in,out,red,T
Partición 1-1, 92.0000, 89.0845, 93.3333, 0.2245
Partición 1-2, 96.0000, 90.1754, 93.3333, 0.1951
Partición 2-1, 95.0000, 91.5493, 93.3333, 0.1946
Partición 2-2, 96.0000, 93.6842, 90.0000, 0.2707
Partición 3-1, 96.0000, 94.7183, 90.0000, 0.2738
Partición 3-2, 96.0000, 94.7368, 90.0000, 0.2702
Partición 4-1, 98.0000, 95.0704, 86.6667, 0.3459
Partición 4-2, 95.0000, 93.3333, 90.0000, 0.2696
Partición 5-1, 96.0000, 94.0141, 86.6667, 0.3529
Partición 5-2, 96.0000, 91.9298, 90.0000, 0.2669
Media, 95.6000, 92.8296, 90.3333, 0.2664
Max, 98.0000, 95.0704, 93.3333, 0.3529
Min, 92.0000, 89.0845, 86.6667, 0.1946
Desv. Típica,1.4283, 1.9527, 2.3333, 0.0509
